epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.638,0.17392,2.27043,1.00209,0.24318,0.80868,0.29627,0.29287,0.30743,1.52273,0.42885,0.00333145,0.00333145,0.00333145
2,240.611,0.10137,1.29865,0.93453,0.31538,0.68954,0.44031,0.43723,0.29027,1.37553,0.38362,0.00665653,0.00665653,0.00665653
3,354.027,0.10394,1.16389,0.93175,0.32312,0.64123,0.40602,0.39015,0.297,1.2902,0.40176,0.00997337,0.00997337,0.00997337
4,466.114,0.08583,1.11093,0.92472,0.37892,0.64493,0.45336,0.44098,0.31814,1.21279,0.41982,0.00996287,0.00996287,0.00996287
5,577.791,0.06753,1.0494,0.91382,0.41305,0.66123,0.51802,0.49922,0.29646,1.10813,0.396,0.0099505,0.0099505,0.0099505
6,689.822,0.05684,1.00855,0.90927,0.47171,0.67271,0.56806,0.56352,0.26755,0.99659,0.36407,0.00993813,0.00993813,0.00993813
7,802.258,0.05028,0.98126,0.90779,0.4579,0.6798,0.56841,0.55132,0.31888,1.01582,0.39687,0.00992575,0.00992575,0.00992575
8,914.627,0.04625,0.95689,0.9049,0.4806,0.66833,0.58654,0.56763,0.29864,0.97479,0.38482,0.00991338,0.00991338,0.00991338
9,1026.86,0.04382,0.94001,0.90288,0.52261,0.67559,0.61209,0.61189,0.23642,0.93995,0.30976,0.009901,0.009901,0.009901
10,1138.98,inf,0.92893,0.90373,0.53198,0.68411,0.62907,0.62559,0.2345,0.92575,0.30229,0.00988862,0.00988862,0.00988862
11,1251.18,0.03918,0.91213,0.90195,0.52451,0.68647,0.62992,0.60529,0.27301,0.93122,0.36272,0.00987625,0.00987625,0.00987625
12,1363.41,0.03831,0.90259,0.90223,0.53187,0.69429,0.63603,0.62163,0.25039,0.92952,0.32987,0.00986387,0.00986387,0.00986387
13,1475.49,0.03602,0.8896,0.90145,0.53283,0.67907,0.6383,0.62932,0.23686,0.98526,0.30116,0.0098515,0.0098515,0.0098515
14,1587.58,0.03517,0.88189,0.90021,0.55026,0.69082,0.64898,0.63171,0.25412,0.91977,0.33803,0.00983913,0.00983913,0.00983913
15,1699.68,inf,0.87181,0.90113,0.55105,0.70078,0.65774,0.64763,0.2486,0.91174,0.33042,0.00982675,0.00982675,0.00982675
16,1811.68,0.03314,0.86844,0.90095,0.56936,0.68517,0.66107,0.64876,0.30057,0.94209,0.37614,0.00981438,0.00981438,0.00981438
17,1924.07,0.03397,0.85862,0.90138,0.56718,0.71594,0.67311,0.66198,0.18819,0.87398,0.24317,0.009802,0.009802,0.009802
18,2036.33,0.03367,0.8552,0.89854,0.58064,0.69661,0.67731,0.66852,0.23786,0.87348,0.32136,0.00978962,0.00978962,0.00978962
19,2148.28,0.03245,0.8474,0.90209,0.58569,0.69543,0.6823,0.67654,0.24024,0.87136,0.32528,0.00977725,0.00977725,0.00977725
20,2260.25,0.03189,0.84028,0.89992,0.58759,0.70146,0.6871,0.66675,0.29245,0.9128,0.36123,0.00976487,0.00976487,0.00976487
21,2372.09,0.03323,0.83494,0.90106,0.60021,0.69,0.68908,0.67794,0.24212,0.88746,0.32221,0.0097525,0.0097525,0.0097525
22,2484.06,0.03033,0.82985,0.90078,0.60139,0.69361,0.6924,0.68892,0.20964,0.87359,0.27572,0.00974013,0.00974013,0.00974013
23,2607.14,0.02963,0.82217,0.8989,0.60541,0.7093,0.69645,0.69252,0.20969,0.86671,0.27736,0.00972775,0.00972775,0.00972775
24,2759.13,inf,0.82103,0.90016,0.60637,0.69847,0.69842,0.68819,0.23685,0.86172,0.31379,0.00971538,0.00971538,0.00971538
25,2906.56,0.03073,0.81463,0.90036,0.60339,0.69986,0.70218,0.69288,0.23493,0.85313,0.30978,0.009703,0.009703,0.009703
26,3058.84,0.03027,0.81239,0.89892,0.61191,0.69915,0.70529,0.69396,0.23129,0.8494,0.30899,0.00969063,0.00969063,0.00969063
27,3207.19,0.03222,0.80402,0.9011,0.60676,0.70415,0.70556,0.69064,0.23501,0.84713,0.31774,0.00967825,0.00967825,0.00967825
28,3358.36,0.02895,0.79882,0.89902,0.6014,0.71452,0.70692,0.69239,0.23616,0.85625,0.31596,0.00966588,0.00966588,0.00966588
29,3511.04,0.03042,0.80118,0.90079,0.60294,0.71506,0.7074,0.69354,0.23618,0.84739,0.31709,0.0096535,0.0096535,0.0096535
30,3665.62,0.02924,0.79398,0.90082,0.60682,0.71148,0.70983,0.69346,0.23802,0.84453,0.32129,0.00964113,0.00964113,0.00964113
31,3820.58,0.02942,0.78948,0.90102,0.61446,0.70528,0.71066,0.69498,0.2363,0.84323,0.32047,0.00962875,0.00962875,0.00962875
32,3977.93,0.02875,0.78567,0.90024,0.62694,0.6939,0.71175,0.69908,0.23473,0.84122,0.31811,0.00961637,0.00961637,0.00961637
33,4128.53,inf,0.78441,0.90113,0.62657,0.69964,0.71281,0.69903,0.23436,0.83898,0.31658,0.009604,0.009604,0.009604
34,4273.56,0.02983,0.78203,0.90086,0.61765,0.71408,0.71331,0.70142,0.23305,0.8399,0.31377,0.00959163,0.00959163,0.00959163
35,4417.21,0.029,0.77846,0.89814,0.61602,0.71769,0.71469,0.70318,0.231,0.83953,0.31048,0.00957925,0.00957925,0.00957925
36,4556.5,0.02882,0.77476,0.89991,0.61715,0.71816,0.71564,0.70566,0.22995,0.84042,0.30934,0.00956688,0.00956688,0.00956688
37,4693.99,inf,0.76708,0.89963,0.62137,0.71425,0.71666,0.70864,0.22951,0.84415,0.30813,0.0095545,0.0095545,0.0095545
38,4833.89,0.02701,0.7666,0.89949,0.61944,0.71462,0.71707,0.70973,0.22963,0.84654,0.30795,0.00954213,0.00954213,0.00954213
39,4977.92,0.02773,0.76296,0.89947,0.61941,0.71613,0.71737,0.71101,0.22782,0.86016,0.30491,0.00952975,0.00952975,0.00952975
40,5117.81,0.02867,0.76456,0.9007,0.61841,0.71422,0.71723,0.71163,0.22377,0.88261,0.29762,0.00951737,0.00951737,0.00951737
41,5250.25,0.02781,0.76064,0.89935,0.61624,0.71787,0.71721,0.71184,0.22118,0.89641,0.29243,0.009505,0.009505,0.009505
42,5387.24,0.02752,0.75961,0.89921,0.61595,0.71981,0.7179,0.71218,0.22191,0.89306,0.2931,0.00949263,0.00949263,0.00949263
43,5529.11,0.0266,0.7546,0.89929,0.61126,0.72641,0.71824,0.71226,0.22226,0.89131,0.29329,0.00948025,0.00948025,0.00948025
44,5668.82,0.02722,0.74703,0.89957,0.61398,0.72568,0.71865,0.71212,0.22152,0.89403,0.29137,0.00946788,0.00946788,0.00946788
45,5807.25,0.02701,0.74881,0.89831,0.61576,0.72795,0.71903,0.70874,0.22219,0.90764,0.28801,0.0094555,0.0094555,0.0094555
46,5947.67,0.02678,0.74776,0.89906,0.61683,0.72898,0.71926,0.70808,0.22419,0.90244,0.29079,0.00944313,0.00944313,0.00944313
47,6086.07,0.02742,0.74517,0.89899,0.61666,0.72941,0.71992,0.70864,0.22588,0.89339,0.2939,0.00943075,0.00943075,0.00943075
48,6220.78,0.02643,0.74398,0.90129,0.62209,0.72436,0.72068,0.71001,0.22759,0.8735,0.29762,0.00941837,0.00941837,0.00941837
49,6356.97,0.02758,0.7389,0.89974,0.6215,0.72808,0.72119,0.70911,0.23066,0.86652,0.30087,0.009406,0.009406,0.009406
50,6492.61,0.02703,0.73985,0.90053,0.622,0.72239,0.72116,0.7073,0.23412,0.87195,0.30373,0.00939363,0.00939363,0.00939363
51,6624.58,0.02629,0.73368,0.89914,0.62062,0.72439,0.72133,0.7068,0.2375,0.87436,0.30728,0.00938125,0.00938125,0.00938125
52,6759.28,0.0256,0.73459,0.89839,0.62179,0.72287,0.72155,0.70648,0.23885,0.86747,0.3095,0.00936888,0.00936888,0.00936888
53,6901.24,0.02571,0.72926,0.89798,0.62006,0.7234,0.72167,0.70658,0.23978,0.85992,0.31096,0.0093565,0.0093565,0.0093565
54,7034.35,inf,0.72414,0.89989,0.6222,0.72019,0.72199,0.70662,0.24041,0.85999,0.3116,0.00934413,0.00934413,0.00934413
55,7162.59,0.02752,0.72825,0.90117,0.61939,0.72733,0.72207,0.70677,0.24138,0.86432,0.31289,0.00933175,0.00933175,0.00933175
56,7275.53,inf,0.72021,0.89893,0.62127,0.72431,0.72237,0.70693,0.23805,0.85974,0.30979,0.00931937,0.00931937,0.00931937
57,7387.89,0.02519,0.71485,0.89783,0.61881,0.72862,0.72284,0.70747,0.23681,0.85979,0.30888,0.009307,0.009307,0.009307
58,7501.21,0.026,0.71389,0.89685,0.61866,0.73076,0.72299,0.70759,0.23644,0.86402,0.30836,0.00929462,0.00929462,0.00929462
59,7613.77,0.02743,0.71426,0.89996,0.61887,0.73027,0.72343,0.70888,0.23189,0.85894,0.30404,0.00928225,0.00928225,0.00928225
60,7725.86,0.02734,0.71505,0.90093,0.62186,0.72756,0.72429,0.70973,0.23057,0.8651,0.30232,0.00926988,0.00926988,0.00926988
61,7838.36,0.02943,0.71148,0.90061,0.62525,0.72649,0.72473,0.71179,0.22735,0.85774,0.29939,0.0092575,0.0092575,0.0092575
62,7951.02,0.0273,0.70776,0.89963,0.62745,0.72389,0.72515,0.71394,0.22526,0.85139,0.29784,0.00924512,0.00924512,0.00924512
63,8063.41,0.02731,0.70463,0.8991,0.62629,0.72749,0.72546,0.71505,0.2244,0.85345,0.29695,0.00923275,0.00923275,0.00923275
64,8175.88,0.02582,0.69882,0.89926,0.62757,0.72578,0.72562,0.71658,0.22375,0.84959,0.2959,0.00922038,0.00922038,0.00922038
65,8288.27,0.02615,0.70309,0.90015,0.6269,0.7279,0.72568,0.7173,0.22377,0.84689,0.29583,0.009208,0.009208,0.009208
66,8400.69,0.02605,0.69674,0.89975,0.62863,0.7249,0.72623,0.71846,0.22413,0.8448,0.29613,0.00919562,0.00919562,0.00919562
67,8513.02,0.02517,0.69566,0.89799,0.62595,0.72674,0.72658,0.71749,0.22489,0.84852,0.29669,0.00918325,0.00918325,0.00918325
68,8625.49,0.02613,0.69701,0.89827,0.62687,0.72596,0.72707,0.71693,0.22598,0.85161,0.29744,0.00917088,0.00917088,0.00917088
69,8738.15,0.02605,0.69426,0.89986,0.62807,0.72555,0.72758,0.71685,0.22644,0.85524,0.29733,0.0091585,0.0091585,0.0091585
70,8850.37,0.02697,0.68765,0.89877,0.62513,0.72997,0.72804,0.7162,0.22768,0.86417,0.29802,0.00914613,0.00914613,0.00914613
71,8962.71,0.02698,0.68926,0.90003,0.63024,0.72632,0.72855,0.71561,0.22792,0.88156,0.29731,0.00913375,0.00913375,0.00913375
72,9075.25,0.02698,0.68747,0.89888,0.62945,0.72809,0.72904,0.71648,0.22693,0.87572,0.29602,0.00912138,0.00912138,0.00912138
73,9187.96,0.02707,0.68404,0.89939,0.62588,0.73482,0.72949,0.71885,0.22541,0.86468,0.29425,0.009109,0.009109,0.009109
74,9300.75,inf,0.68212,0.89949,0.62801,0.73444,0.72991,0.72066,0.22363,0.85875,0.29224,0.00909662,0.00909662,0.00909662
75,9413.27,0.02692,0.68476,0.89999,0.62977,0.72884,0.73029,0.72174,0.22311,0.85901,0.29129,0.00908425,0.00908425,0.00908425
76,9525.67,0.02664,0.6806,0.90214,0.63231,0.72398,0.73065,0.72144,0.2222,0.8671,0.28996,0.00907188,0.00907188,0.00907188
77,9638.33,0.02551,0.67374,0.9008,0.63236,0.72257,0.73097,0.72186,0.22146,0.8725,0.28883,0.0090595,0.0090595,0.0090595
78,9750.84,0.02527,0.67622,0.89679,0.63622,0.72053,0.73159,0.72498,0.22011,0.86708,0.2881,0.00904713,0.00904713,0.00904713
79,9863.39,0.02674,0.67784,0.90114,0.6386,0.72047,0.73231,0.72672,0.21999,0.8635,0.2871,0.00903475,0.00903475,0.00903475
80,9975.77,0.02544,0.66581,0.89972,0.63599,0.72811,0.73273,0.72701,0.21983,0.86688,0.28621,0.00902238,0.00902238,0.00902238
