epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,177.148,0.74813,0.90775,1.13421,0.60523,0.7183,0.72406,0.6031,0.68748,1.05029,0.8432,0.000835207,0.000835207,0.000835207
43,181.27,0.73275,0.91219,1.1117,0.60216,0.72279,0.71212,0.59971,0.64928,0.96758,0.82459,0.000833408,0.000833408,0.000833408
44,185.427,0.71964,0.90602,1.13045,0.67529,0.70738,0.73054,0.6096,0.6547,0.95337,0.84899,0.000831608,0.000831608,0.000831608
45,189.528,0.70802,0.8877,1.10239,0.68396,0.67088,0.70194,0.58519,0.65599,1.02227,0.82722,0.000829808,0.000829808,0.000829808
46,193.649,0.70138,0.8915,1.0969,0.56672,0.73319,0.69922,0.58566,0.64435,1.06582,0.82898,0.000828008,0.000828008,0.000828008
47,197.76,0.71476,0.92189,1.12343,0.61183,0.73506,0.72268,0.60035,0.67367,0.97393,0.86516,0.000826208,0.000826208,0.000826208
48,201.916,0.69963,0.87224,1.10833,0.66415,0.62337,0.71231,0.595,0.67576,1.05877,0.86053,0.000824408,0.000824408,0.000824408
49,206.011,0.7122,0.87471,1.11195,0.63067,0.71601,0.7088,0.59103,0.66307,1.012,0.84135,0.000822609,0.000822609,0.000822609
50,210.109,0.70745,0.84691,1.10351,0.63509,0.74915,0.74291,0.62239,0.69811,0.98038,0.88346,0.000820809,0.000820809,0.000820809
51,214.199,0.73731,0.86562,1.11691,0.60455,0.74822,0.71447,0.59544,0.68531,1.06487,0.86614,0.000819009,0.000819009,0.000819009
52,218.325,0.69309,0.85918,1.10987,0.61286,0.7295,0.71089,0.59622,0.69444,1.00868,0.89139,0.000817209,0.000817209,0.000817209
53,222.438,0.72108,0.86157,1.10474,0.60053,0.67716,0.69532,0.55834,0.80384,1.07934,1.13063,0.000815409,0.000815409,0.000815409
54,226.536,0.71072,0.85677,1.10143,0.58118,0.69274,0.68947,0.58054,0.68118,1.22022,0.87443,0.00081361,0.00081361,0.00081361
55,230.691,0.68453,0.83888,1.09614,0.53454,0.7441,0.67798,0.56699,0.68735,1.05773,0.88004,0.00081181,0.00081181,0.00081181
56,234.811,0.70623,0.83355,1.1107,0.63739,0.72332,0.73042,0.60529,0.69982,0.95023,0.89265,0.00081001,0.00081001,0.00081001
57,238.873,0.70151,0.82448,1.08892,0.59766,0.72701,0.71786,0.59997,0.68483,1.08998,0.86768,0.00080821,0.00080821,0.00080821
58,242.979,0.69416,0.82338,1.09353,0.63022,0.6814,0.71664,0.58301,0.74795,1.04056,0.93425,0.00080641,0.00080641,0.00080641
59,247.077,0.69474,0.79768,1.08485,0.64097,0.71409,0.71771,0.6001,0.66175,1.01709,0.84051,0.00080461,0.00080461,0.00080461
60,251.193,0.70475,0.78745,1.09699,0.60481,0.72102,0.70656,0.58708,0.67928,1.06097,0.85993,0.000802811,0.000802811,0.000802811
61,255.273,0.68316,0.7978,1.09503,0.64046,0.70014,0.71661,0.60223,0.68286,1.01415,0.8786,0.000801011,0.000801011,0.000801011
62,259.373,0.70796,0.80884,1.0952,0.61724,0.71594,0.70787,0.58758,0.71157,1.01844,0.88406,0.000799211,0.000799211,0.000799211
63,263.487,0.70608,0.79642,1.09348,0.61787,0.67789,0.7051,0.5749,0.76651,1.07792,0.94588,0.000797411,0.000797411,0.000797411
64,267.578,0.70856,0.79954,1.09905,0.65099,0.70005,0.72217,0.60228,0.68617,1.01557,0.87949,0.000795611,0.000795611,0.000795611
65,271.642,0.70719,0.80559,1.09473,0.58287,0.65316,0.66869,0.56182,0.67122,1.14351,0.85146,0.000793812,0.000793812,0.000793812
66,275.73,0.72966,0.7969,1.11183,0.6239,0.71757,0.70235,0.56063,0.77634,1.11677,0.95133,0.000792012,0.000792012,0.000792012
67,279.861,0.67945,0.79557,1.10615,0.62768,0.7447,0.72038,0.60589,0.68704,0.99259,0.88065,0.000790212,0.000790212,0.000790212
68,283.965,0.6995,0.77833,1.09493,0.64627,0.7058,0.71632,0.59695,0.65661,1.01605,0.85216,0.000788412,0.000788412,0.000788412
69,288.001,0.6712,0.75563,1.09005,0.58617,0.74496,0.72761,0.61089,0.68433,1.09326,0.87425,0.000786612,0.000786612,0.000786612
70,292.072,0.69785,0.76255,1.09446,0.63139,0.71711,0.73332,0.62025,0.66045,1.07584,0.85079,0.000784812,0.000784812,0.000784812
71,296.208,0.66062,0.73906,1.0841,0.59733,0.71174,0.70375,0.58937,0.70814,1.11376,0.89687,0.000783013,0.000783013,0.000783013
72,300.268,0.67075,0.7704,1.08667,0.68697,0.65446,0.70019,0.58444,0.67706,1.14456,0.87291,0.000781213,0.000781213,0.000781213
73,304.346,0.67092,0.74413,1.09061,0.60121,0.73355,0.70957,0.58965,0.71111,1.1171,0.90258,0.000779413,0.000779413,0.000779413
74,308.444,0.68131,0.73566,1.08753,0.59607,0.78074,0.7423,0.62243,0.69544,0.93197,0.907,0.000777613,0.000777613,0.000777613
75,312.536,0.68154,0.75125,1.09278,0.6001,0.75225,0.71726,0.59484,0.68356,1.08115,0.86991,0.000775813,0.000775813,0.000775813
76,316.641,0.66332,0.70681,1.06713,0.60983,0.74267,0.73395,0.61363,0.6924,1.03889,0.89442,0.000774013,0.000774013,0.000774013
77,320.691,0.65586,0.71583,1.08558,0.62236,0.72548,0.72298,0.60173,0.70699,0.99331,0.89945,0.000772214,0.000772214,0.000772214
78,324.817,0.65447,0.69463,1.07407,0.66032,0.6879,0.73378,0.61864,0.6969,0.99765,0.9084,0.000770414,0.000770414,0.000770414
79,328.94,0.66359,0.74255,1.07948,0.63913,0.70785,0.72053,0.60447,0.69214,1.07937,0.90617,0.000768614,0.000768614,0.000768614
80,333.05,0.66978,0.71589,1.09466,0.62747,0.73181,0.7308,0.60992,0.69312,0.97466,0.88393,0.000766814,0.000766814,0.000766814
81,337.116,0.6778,0.70301,1.07292,0.59644,0.73678,0.7059,0.5854,0.7076,1.06509,0.91322,0.000765014,0.000765014,0.000765014
82,341.184,0.67178,0.68628,1.07856,0.65533,0.70304,0.72981,0.61262,0.70825,1.02424,0.89823,0.000763215,0.000763215,0.000763215
83,345.25,0.65408,0.6704,1.0743,0.60175,0.76016,0.72912,0.6148,0.6949,1.07324,0.89476,0.000761415,0.000761415,0.000761415
84,349.356,0.66949,0.68805,1.08403,0.64747,0.7072,0.73362,0.61338,0.70465,0.98639,0.88503,0.000759615,0.000759615,0.000759615
85,353.418,0.63848,0.67069,1.0699,0.6376,0.7012,0.71382,0.604,0.70949,1.09332,0.91656,0.000757815,0.000757815,0.000757815
86,357.508,0.65031,0.66737,1.07202,0.58106,0.77636,0.70123,0.59307,0.69858,1.10119,0.91166,0.000756015,0.000756015,0.000756015
87,361.653,0.65326,0.70537,1.07573,0.61265,0.70368,0.69219,0.58456,0.7224,1.14181,0.92604,0.000754215,0.000754215,0.000754215
88,365.749,0.63359,0.66891,1.06551,0.63596,0.72515,0.72447,0.61158,0.70281,0.98312,0.90704,0.000752416,0.000752416,0.000752416
89,369.812,0.65445,0.67264,1.07475,0.62025,0.7591,0.72362,0.60511,0.68762,1.00101,0.89442,0.000750616,0.000750616,0.000750616
90,373.936,0.65341,0.67477,1.07987,0.61814,0.71855,0.71395,0.59676,0.71779,1.04401,0.92914,0.000748816,0.000748816,0.000748816
91,378.027,0.6659,0.64762,1.06756,0.65231,0.73996,0.73237,0.61872,0.68467,0.99092,0.90194,0.000747016,0.000747016,0.000747016
92,382.111,0.62393,0.63386,1.07408,0.6684,0.71405,0.73649,0.61938,0.67717,0.9978,0.88544,0.000745216,0.000745216,0.000745216
93,386.179,0.63285,0.61282,1.06821,0.68508,0.69507,0.73406,0.60469,0.71982,1.03417,0.92282,0.000743417,0.000743417,0.000743417
94,390.283,0.63262,0.62638,1.06825,0.67188,0.71014,0.71402,0.60226,0.68695,1.03,0.88757,0.000741617,0.000741617,0.000741617
95,394.382,0.63496,0.61942,1.07229,0.68379,0.6752,0.72915,0.61248,0.69114,1.0624,0.88961,0.000739817,0.000739817,0.000739817
96,398.462,0.65457,0.62761,1.08413,0.67907,0.68682,0.72125,0.60921,0.68942,1.0155,0.89534,0.000738017,0.000738017,0.000738017
97,402.531,0.61125,0.60812,1.0532,0.66362,0.68444,0.71759,0.6042,0.68068,0.98403,0.88487,0.000736217,0.000736217,0.000736217
98,406.646,0.61862,0.60083,1.06346,0.66562,0.73204,0.73006,0.61233,0.71696,0.98973,0.93616,0.000734417,0.000734417,0.000734417
99,410.73,0.63308,0.60932,1.06638,0.59227,0.76768,0.70016,0.58728,0.70362,1.10875,0.89807,0.000732618,0.000732618,0.000732618
100,414.838,0.64308,0.58543,1.06086,0.67419,0.73117,0.74059,0.62163,0.71529,1.02762,0.91457,0.000730818,0.000730818,0.000730818
101,418.905,0.62569,0.58529,1.0631,0.69664,0.71285,0.73587,0.619,0.69538,0.96412,0.90605,0.000729018,0.000729018,0.000729018
102,423.028,0.61393,0.57319,1.05214,0.66029,0.71058,0.71302,0.60188,0.69945,1.17357,0.9206,0.000727218,0.000727218,0.000727218
103,427.179,0.63067,0.61843,1.06466,0.64648,0.72022,0.70584,0.59521,0.70324,1.0709,0.92091,0.000725418,0.000725418,0.000725418
104,431.317,0.60436,0.58423,1.05771,0.64304,0.7462,0.7326,0.61609,0.68857,0.95907,0.89476,0.000723619,0.000723619,0.000723619
105,435.472,0.62558,0.57853,1.05668,0.66361,0.72944,0.74007,0.61699,0.71122,1.04906,0.91536,0.000721819,0.000721819,0.000721819
106,439.647,0.62016,0.59033,1.06393,0.65938,0.68949,0.71285,0.59712,0.69368,1.12139,0.89562,0.000720019,0.000720019,0.000720019
107,443.754,0.61335,0.59963,1.06171,0.67144,0.69106,0.72232,0.60761,0.70478,1.01022,0.90985,0.000718219,0.000718219,0.000718219
108,447.878,0.59626,0.53481,1.04987,0.66039,0.72847,0.71596,0.59951,0.70853,1.0247,0.91995,0.000716419,0.000716419,0.000716419
109,451.988,0.6159,0.55542,1.05079,0.66972,0.69459,0.7192,0.60146,0.70216,1.02783,0.91983,0.000714619,0.000714619,0.000714619
110,456.123,0.61546,0.55163,1.05534,0.67687,0.66149,0.7147,0.59468,0.71849,1.1478,0.94084,0.00071282,0.00071282,0.00071282
111,460.207,0.61207,0.54896,1.06065,0.65895,0.70885,0.70767,0.59512,0.70353,1.1462,0.93542,0.00071102,0.00071102,0.00071102
112,464.332,0.60755,0.52877,1.05002,0.66436,0.72938,0.73921,0.62066,0.72879,0.97214,0.95089,0.00070922,0.00070922,0.00070922
113,468.453,0.59426,0.52417,1.04031,0.64757,0.6977,0.71059,0.59906,0.70356,1.05069,0.9198,0.00070742,0.00070742,0.00070742
114,472.58,0.59713,0.5188,1.05232,0.66499,0.70268,0.72554,0.60858,0.73782,1.08696,0.96343,0.00070562,0.00070562,0.00070562
115,476.676,0.6027,0.52994,1.04916,0.67414,0.67891,0.7149,0.5986,0.72602,1.03787,0.94309,0.000703821,0.000703821,0.000703821
116,480.801,0.60635,0.51693,1.04484,0.64938,0.68528,0.7177,0.60741,0.70229,1.07587,0.92064,0.000702021,0.000702021,0.000702021
117,484.87,0.57773,0.51193,1.03544,0.57871,0.71119,0.66779,0.56407,0.7031,1.17753,0.94163,0.000700221,0.000700221,0.000700221
118,488.98,0.5986,0.5179,1.04994,0.61618,0.71232,0.69888,0.58572,0.69893,1.19024,0.9195,0.000698421,0.000698421,0.000698421
