epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5681.69,0.02818,0.67833,0.90052,0.64011,0.73503,0.73802,0.73802,0.10317,0.74548,0.12754,0.008614,0.008614,0.008614
44,5820.09,0.02766,0.67597,0.89918,0.638,0.73847,0.73845,0.73845,0.10295,0.74654,0.1279,0.008581,0.008581,0.008581
45,5962.07,0.02661,0.66673,0.89806,0.63831,0.73855,0.73865,0.73865,0.10285,0.74811,0.12832,0.008548,0.008548,0.008548
46,6104.51,inf,0.66944,0.89898,0.64115,0.73373,0.73827,0.73827,0.103,0.75096,0.12823,0.008515,0.008515,0.008515
47,6237.56,0.02548,0.65801,0.89782,0.63818,0.73609,0.73785,0.73785,0.10414,0.7576,0.12943,0.008482,0.008482,0.008482
48,6376.58,0.02546,0.65437,0.90082,0.64036,0.72895,0.73719,0.73719,0.10559,0.76536,0.13094,0.008449,0.008449,0.008449
49,6515.2,inf,0.64919,0.89949,0.64116,0.72662,0.73722,0.73722,0.10705,0.76788,0.13198,0.008416,0.008416,0.008416
50,6657.19,0.02508,0.64619,0.89974,0.64146,0.72693,0.73686,0.73686,0.10883,0.77094,0.13236,0.008383,0.008383,0.008383
51,6790.98,0.02524,0.64123,0.89864,0.63965,0.72797,0.73718,0.73718,0.11108,0.77269,0.13379,0.00835,0.00835,0.00835
52,6930.58,0.02481,0.63182,0.89864,0.64282,0.72626,0.73721,0.73721,0.11375,0.77475,0.13589,0.008317,0.008317,0.008317
53,7070.91,0.02511,0.62984,0.89737,0.64418,0.72582,0.7379,0.7379,0.11536,0.77766,0.13735,0.008284,0.008284,0.008284
54,7200.41,0.0247,0.62011,0.89945,0.63921,0.73505,0.7379,0.7379,0.11419,0.78374,0.13717,0.008251,0.008251,0.008251
55,7330.32,0.02505,0.61489,0.89964,0.64421,0.73006,0.73864,0.73863,0.11007,0.78388,0.13467,0.008218,0.008218,0.008218
56,7460.6,0.02649,0.60717,0.89948,0.6462,0.73224,0.73935,0.73935,0.10785,0.78231,0.13396,0.008185,0.008185,0.008185
57,7600.99,0.02515,0.60217,0.89874,0.65129,0.72541,0.74004,0.74003,0.10338,0.77745,0.13082,0.008152,0.008152,0.008152
58,7740.91,0.02571,0.59942,0.89708,0.65051,0.73034,0.74107,0.74107,0.09797,0.76329,0.12581,0.008119,0.008119,0.008119
59,7882.39,0.02695,0.5919,0.89973,0.65509,0.72845,0.74146,0.74146,0.09647,0.75282,0.12419,0.008086,0.008086,0.008086
60,8023.14,0.02562,0.59189,0.90021,0.65328,0.72918,0.74219,0.74219,0.09565,0.74627,0.12352,0.008053,0.008053,0.008053
61,8162.52,inf,0.58343,0.89924,0.65285,0.73005,0.74323,0.74323,0.09514,0.74286,0.12301,0.00802,0.00802,0.00802
62,8302.25,inf,0.57684,0.89961,0.65713,0.72603,0.74375,0.74375,0.09441,0.74019,0.12224,0.007987,0.007987,0.007987
63,8444.15,0.02491,0.57532,0.89941,0.65652,0.72899,0.74459,0.74459,0.09443,0.73876,0.12238,0.007954,0.007954,0.007954
64,8585.34,0.02326,0.56643,0.89808,0.66041,0.72724,0.74529,0.74529,0.0946,0.7381,0.1224,0.007921,0.007921,0.007921
65,8723.6,0.02424,0.56557,0.89879,0.66325,0.72429,0.74566,0.74565,0.09397,0.73745,0.12151,0.007888,0.007888,0.007888
66,8860.52,0.02382,0.55784,0.90028,0.66464,0.72412,0.74587,0.74586,0.09329,0.73665,0.12067,0.007855,0.007855,0.007855
67,8991.25,0.02321,0.55211,0.89691,0.66436,0.72526,0.74618,0.74616,0.0928,0.73629,0.12004,0.007822,0.007822,0.007822
68,9121.9,0.02181,0.54385,0.8967,0.66484,0.72497,0.74692,0.74691,0.09213,0.73505,0.11921,0.007789,0.007789,0.007789
69,9254.42,0.02208,0.53502,0.89944,0.66485,0.72416,0.74688,0.74684,0.09118,0.73487,0.11816,0.007756,0.007756,0.007756
70,9386.56,0.02411,0.53173,0.8986,0.66987,0.71929,0.74648,0.74644,0.09194,0.73627,0.11879,0.007723,0.007723,0.007723
71,9519.19,0.02293,0.52533,0.89832,0.67019,0.71909,0.74642,0.74634,0.09289,0.73679,0.11963,0.00769,0.00769,0.00769
72,9650.89,inf,0.52555,0.89769,0.67037,0.71759,0.74636,0.74632,0.09353,0.73724,0.12006,0.007657,0.007657,0.007657
73,9782.06,0.02263,0.51772,0.89859,0.67192,0.71619,0.74654,0.74646,0.09425,0.73758,0.12065,0.007624,0.007624,0.007624
